numero,link,tribunal,tipo_participacao,nome_parte
0003833-81.2011.8.26.0053,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1H0002M1Q0000&processo.foro=53&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqte,Coca-Cola Indústrias LTDA.
1054256-37.2018.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2S000V9U00000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqte,Ascoka – Associação dos Distribuidores Autorizados do Sistema de Coca-Cola e Cervejarias Kaiser
1071501-66.2015.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2S000HIUK0000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
0202945-50.2012.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZXA0HQ90000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Indústrias
0171291-79.2011.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZX9EDP70000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Spal Indústria Brasileira de Bebidas S/A (coca - Cola)
0122087-66.2011.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZX9DBQF0000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Spal Indústria Brasileira de Bebidas S/a-coca-cola
0110724-82.2011.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZX9D2YS0000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Brasil
0146223-98.2009.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZX86Z5B0000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca-cola do Brasil S/A
0135379-89.2009.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZX86QS30000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Spal Indústria Brasileira de Bebidas S/A
0115703-97.2005.8.26.0100,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2SZX5SL6F0000&processo.foro=100&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca - Cola Indústrias Ltda
0050559-69.2004.8.26.0050,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1E0013ZNA0000&processo.foro=50&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqte,Coca-cola Indústrias Ltda
1019213-87.2024.8.26.0016,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0G000B92E0000&processo.foro=16&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
1004310-57.2018.8.26.0016,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0G00065UV0000&processo.foro=16&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
0200848-10.2013.8.26.0014,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0E00023JQ0000&processo.foro=14&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqda,Coca-cola Industrias Ltda
1012832-54.2024.8.26.0019,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0J000ANZA0000&processo.foro=19&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Indústrias Ltda
1004418-72.2021.8.26.0019,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0J0007B9H0000&processo.foro=19&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca-cola Indústrias Ltda
1001406-30.2025.8.26.0045,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=190004CU40000&processo.foro=45&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Insdústrias Ltda
1003722-50.2024.8.26.0045,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1900048KP0000&processo.foro=45&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola do Brasil Distribuidora Ltda
1001883-81.2025.8.26.0068,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1W001DUCL0000&processo.foro=68&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Insdústrias Ltda
0034388-80.2004.8.26.0068,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1WY02EGYC0000&processo.foro=68&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqte,Coca-cola Indústrias Ltda
1000890-32.2025.8.26.0070,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1Y0003HNM0000&processo.foro=70&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Indústrias Ltda
1002484-86.2022.8.26.0070,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1Y0002S9F0000&processo.foro=70&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Instituto Coca-cola Brasil
1012181-41.2021.8.26.0079,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=270006FJ70000&processo.foro=79&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1&paginaConsulta=1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Industrias Ltda
1001788-59.2018.8.26.0080,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=280000VJ60000&processo.foro=80&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
1033371-91.2017.8.26.0114,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=36000B2680000&processo.foro=114&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,COCA-COLA FEMSA BRASIL
1001274-89.2023.8.26.0126,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=3I0005TQX0000&processo.foro=126&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Industrias Ltda
0002392-87.2024.8.26.0157,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=4D0008JPJ0000&processo.foro=157&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,COCA COLA FEMSA BRASIL S/A
0000193-69.2004.8.26.0165,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=4LZ04005D0000&processo.foro=165&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industria Ltda
1005222-49.2024.8.26.0176,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=4W00074FO0000&processo.foro=176&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Indústrias Ltda
1001558-51.2017.8.26.0177,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=4X0000XA10000&processo.foro=177&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industria Ltda
0002190-08.2024.8.26.0191,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=5B0005GM90000&processo.foro=191&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,SPAL Industria Brasileira de Bebidas S/A - Coca-Cola
0001733-73.2024.8.26.0191,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=5B0005FA00000&processo.foro=191&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca-Cola Femsa
1032808-98.2024.8.26.0196,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=5G000HRNF0000&processo.foro=196&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa
1007150-72.2024.8.26.0196,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=5G000GUAZ0000&processo.foro=196&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
1021975-55.2023.8.26.0196,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=5G000FLNR0000&processo.foro=196&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Embargte,Rio de Janeiro Refrescos Ltda (Coca Cola Andina Bra)
0006123-42.2022.8.26.0196,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=5G000DJP60000&processo.foro=196&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Rio de Janeiro Refrescos Ltda (Coca Cola Andina Bra)
